Sample_name	Labels	group	Date	Lat	Long	locality	culture
I5771	I5771      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	9750	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
I5773	I5773      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	10040	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
NEO677	NEO677      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	9175	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
VLASA32-2	VLASA32-2      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	10223	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
VLASA7-3	VLASA7-3      Vlasac       Iron_Gates_Mesolithic	South_11-8_kaBP	9170	44.533055	22.04991	Vlasac 	Iron_Gates_Mesolithic
NEO527	NEO527      Voloske       Butovo	East_14-11_kaBP	11533	48.305	35.136	Voloske 	Butovo
Burkhardtshohle.pmds3filter	Burkhardtshohle      Westerheim       Magdalenian	North-West_17-14_kaBP	14620	48.32	9.35	Westerheim 	Magdalenian
I0061	I0061      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8450	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
I0211	I0211      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8450	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO012	UOO012      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO015	UOO015      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO023	UOO023      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO025	UOO025      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO029	UOO029      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO033	UOO033      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8296	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO035_056	UOO035_056      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8120	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO037	UOO037      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO047	UOO047      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8220	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO051	UOO051      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO052	UOO052      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO053	UOO053      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
UOO059	UOO059      Yuzhny Oleniy Ostrov       Onega	East_11-8_kaBP	8125	61.937725	35.260893	Yuzhny Oleniy Ostrov 	Onega
NEO87	NEO87      Zamostye-2       Butovo	East_11-8_kaBP	8419	56.666	38.016	Zamostye-2 	Butovo
NEO88	NEO88      Zamostye-2       Butovo	East_11-8_kaBP	8265	56.666	38.016	Zamostye-2 	Butovo
I4550	I4550      Zvejnieki       Kunda	East_11-8_kaBP	8489	56.2833	25.1333	Zvejnieki 	Kunda
I4630	I4630      Zvejnieki       Kunda	East_11-8_kaBP	9218	56.2833	25.1333	Zvejnieki 	Kunda
Latvia_HG1	Latvia_HG1      Zvejnieki       Kunda	East_11-8_kaBP	8316	56.2833	25.1333	Zvejnieki 	Kunda
NEO307	NEO307      Zvejnieki       Kunda	East_11-8_kaBP	8104	56.2833	25.1333	Zvejnieki 	Kunda
